"Col1","user","description","result","apply_dt","close_dt","update_ts"
"","明知我们隔着个太空","EP，单身女，30， 第二次申请才通过，来新5年","通过","2021-04-01","2022-01-17","2022-01-21 09:10"
"","好慢啊","单身女28，在新3年，国内985本nus硕，it行业","通过","2021-03-03","2022-01-18","2022-01-19 12:00"
"","胡说八道","单身，男，28岁， IT行业，国内二本，薪水7K。来新两年后申请，等待七个月通过。","通过","2021-05-15","2021-12-30","2022-01-14 11:11"
"","未来可期","spass, 33 岁，女，单身，薪水3500，等待期间ICA要求上传资料，4个月后收到被拒，现在准备换工作，大家可以给些建议吗？","杯具","2021-07-16","2022-01-10","2022-01-14 10:42"
"","Yy","spass, 月薪：2.5k在新6年","等待","2021-06-24","null","2022-01-14 03:03"
"","Mr.Chok","中国，男，单身，sm1，9年，nus本科毕业，ntu master在读，脑子突然抽了想当兵","等待","2022-01-12","null","2022-01-13 01:16"
"","Jan","小学过来留学，目前理工读完要大学，已来新14年。 目前第4次申请，望这次过。","等待","2021-09-19","null","2022-01-12 22:27"
"","虎虎","夫妻初次共同申请，都30+，无子女，在新约10年。男方国大博士后，科研人员，女方国内硕士，教育行业。申请四个月后补交材料，1月3日上传按钮消失，不可以再申请，5天后刷出cpf 号码，然后很快就收到IPA了。","通过","2021-05-01","2022-01-10","2022-01-11 23:38"
"","祝各位早日上岸","28岁，男，EP，国内985本科，新加坡PhD，在坡6年。申请时候是博士后，随后更换工作到投资行业。年薪$70k。女朋友分开申请，背景类似，S pass，博士后，年薪$60k","通过","2021-03-06","2021-12-16","2022-01-10 12:48"
"","43","国内本科毕业，EP第三年，贸易行业，basic 6k+，第一次申请","等待","2021-09-20","null","2022-01-07 18:03"
"","你猜猜看","女，31，本地私立大学，来新12年，EP，未婚， 第7次申请，求好运","通过","2021-02-01","2021-12-20","2022-01-07 17:12"
"","Blues","S pass, 来新将近4年，薪水2.6 媒体业，等了11个月～祝福大家～","通过","2021-01-28","2021-12-31","2022-01-05 16:13"
"","root","中国男本科，IT，工资7.5k，来新2年半，6个月通过","通过","2021-06-29","2022-01-01","2022-01-04 21:32"
"","广子","单身，EP，Top2 Uni 硕士，来新3年+，求好运","等待","2021-12-01","null","2022-01-04 20:00"
"","bbb","spass, 月薪：2.3k 感恩~~~~","通过","2021-06-01","2022-01-02","2022-01-02 14:19"
"","美女程序员","新加坡公立本科， IT 5k, 毕业半年申请","等待","2021-12-31","null","2021-12-31 23:21"
"","Pending","来新4年 国内本 NTU硕 月薪5.8k+ 求好运","等待","2021-05-07","null","2021-12-29 17:34"
"","Keung1018","NTU社科类Master，澳洲八大教育学Master，本地私立商科本科，EP，Basic 6K，单身，2011年12月来新加坡，读书5年，工作5年多。已经等待了8个月多，12月9日上传按钮消失，可以递交新的申请了，估计是悲剧了。

12月13日收到拒签信，12月16日收到“被上诉”信的通知，12月20号收到Receiving Attention的信件。","等待","2021-03-27","2021-12-09","2021-12-27 14:09"
"","sap","30岁，女，单身，it行业4k+，在新五年，新加坡研究生学历，第一次申请","等待","2021-06-18","null","2021-12-23 22:02"
"","求好运","求好运","等待","2021-02-04","null","2021-12-22 16:29"
"","LPP","女，50岁，马来西亚人来新32年，SPASS NTC2, 月薪2.6K/MNC。 第一次申请","杯具","2021-02-03","2021-12-21","2021-12-22 15:28"
"","test","国内本，NUS硕，工作2年，男，26，刷到cpf","通过","2020-08-18","2021-06-11","2021-12-22 12:28"
"","秦岭1997","2019年中来新，国内985本科，EP月基薪13k，老婆孩子DP在国内","杯具","2021-07-12","2021-12-18","2021-12-21 01:21"
"","simeyyds","40+岁，男，1年，EP, 18K+，互联网行业，大学肄业，已婚未育，妻子DP，共同申请","杯具","2021-08-09","2021-12-13","2021-12-20 12:04"
"","111","28，NUS硕士，来新6年，教育行业EP，月薪5.5k","等待","2021-10-10","null","2021-12-19 17:48"
"","赶快通过","24岁，SP 和配偶一起申请。来新六年 父母都是PR","等待","2021-09-15","null","2021-12-14 21:20"
"","兢兢业业","第二次申请 双 EP + 小孩，IT 相关 ，双方Basic 都超过 10k， 等11+ 月通过。祝大家 好运","通过","2020-12-01","2021-12-01","2021-12-10 22:16"
"","yyyouyou","来新加坡一年，金融业，月销15k，宝宝出生在新加坡，一家三口一起申请","杯具","2021-08-03","2021-12-08","2021-12-10 09:04"
"","我爱吃田鸡","有没有和本人相似的，提交按钮消失之后，重新申请时出现not eligible for PR application，而不是常见 pending？ 望分享一下//已婚，phd，33， 7k/12-08号材料提交按钮小时，不可重新申请，但是显示的不是pending，而是not eligible，不知道什么情况","等待","2021-07-10","null","2021-12-09 20:48"
"","豆子","单身女，26岁，国内本科，NUS硕士，在新4年，工资5000，第一次申请。祝大家好运！","通过","2021-01-15","2021-11-30","2021-12-07 12:31"
"","haha","今年31岁，刚申请到SP 准证。Retail Supervisor,薪水底薪$2550，不包括incentive & monthly target bonus.一般月薪超过$3K 第一次申请PR,我有三份AIA 储存与投资保险已买超过8年。叔叔是新加坡PR,我在新加坡有10年左右。","通过","2021-12-07","2021-12-09","2021-12-07 01:18"
"","Luck","28岁，单身男生，985本科NUS硕士，来新6年，工作4年生物科技行业，Basic 5.4K, 第三次申请。希望明年能有好消息！","等待","2021-12-05","null","2021-12-06 14:52"
"","cxj808808","SP带2个DP，6K，建筑业，来新10年，只有新加坡私立学校的大专文凭，申请多次，年龄偏大，今年意外惊喜通过，或许疫情的缘故。大家加油！","通过","2021-01-18","2021-10-04","2021-12-06 13:47"
"","阳光","单身女，26，poly学历，会计，月薪2600，来新10年，工作两年后申请","通过","2021-04-02","2021-11-11","2021-12-05 21:02"
"","lulupa","SP，7k，第二次申请，祝好运","等待","2021-07-18","null","2021-12-04 11:03"
"","HUIJING","中国普通本科毕业，29岁单身，新加坡工作超过六年，制造业SP ， 薪水3K+，第二次申请了， 还是杯具 ........  有没有跟我情况差不多的通过的小姐姐 ？？？","杯具","2021-07-26","2021-12-03","2021-12-03 09:20"
"","大蘑","男 44  EP 带妻儿一起申请 妻儿在国内 来新2年 装修业 首次申","等待","2021-11-30","null","2021-11-30 22:08"
"","船长","48周岁离异男，国内本科，月薪8k，来新7年，一年半时申请一次杯具现在第二次申请，期待有好结果然后可以去买房了。
-15/11/2021补充:收到ICA邮件通知补充家人工作履历资料，已提交继续等待，CPF/HDB已经可以看到有账号了。","等待","2020-07-24","null","2021-11-30 21:20"
"","多多益善","国内985本硕，工作8年，NUS PhD，basic 6K+，全家人申请，老公孩子DP，孩子在读P1","等待","2021-09-05","null","2021-11-30 15:15"
"","求求了","30112021： 第十一天，查到了CPF号码了！！！ 希望大家的申请也会快快通过！
23112021：四天了，还是不可以重新申请，查不到CPF，据网上说基本这样是稳了，等cpf就好，可是每一天都是煎熬啊啊啊啊
19112021：九个半月pendig今天查到按钮消失了！目前还不可以重新申请！但是还查不到CPF号码。来吸吸欧气！！！
24岁女未婚，2011年来留学， local sec + poly diploma ，有拿tuition grant 3年，毕业后SP银行工作1年，目前制造业大头公司SP已工作一年多，希望可以过！！！","通过","2021-02-02","2021-11-30","2021-11-30 09:48"
"","求好运","祈求好运 祈求赶快通过","等待","2021-02-02","null","2021-11-29 21:47"
"","chikage","中国独生女，22岁，单身，本地私立读了两年degree，工作6个月申请，IT工程师，SP，月薪3k","杯具","2021-07-20","2021-11-26","2021-11-29 16:55"
"","xie","本科2013年来新，2014月薪5K申请被拒一次，2015月薪6k申请被拒一次，2017月薪7k申请被拒一次，2020月薪16k，申请通过。","通过","2020-07-15","2020-12-04","2021-11-29 10:16"
"","ll","来新三年，NTU硕，单身，EP，第一次申请","杯具","2021-07-14","2021-11-28","2021-11-28 23:21"
"","小蓝","来新加坡 8年 男28 单身 国籍:马来西亚 spass 等待7个月 结果来临杯具","杯具","2021-04-12","2022-07-25","2021-11-28 16:46"
"","Clannad","30+岁，985本，NUS硕，单身，独生子女，来新9+年，basic 5k+，第4+次申请；Pending大概10个月收到ICA email要求补交资料，Online补交一周后上传按钮消失留下三道杠，无法重新申请；不到一周后查到cpf上ICA Ref No，ICA网站上Application status暂时还没变，不过已经通过eAppt用Ref No试出Approval是在查到cpf上ICA Ref No的前一天，随后提前预约12月的Formalities；查到cpf上ICA Ref No次日收到IPA，邮戳显示是Approve次日（也就是查到cpf上ICA Ref No当天）发出的。
p.s. (0)For safety，申请时间和结束时间已做模糊处理（误差+/- 14days）。
p.s. (1)11月的预约已经全满了，暂时选定12月的最早的slot，之后有空位再更改预约（貌似有4次机会）。
p.s. (2)根据这个网站数据分析一般情况补资料1周~1个月后会有一些进展。
p.s. (3)祝大家好运~
EOF","通过","2021-01-08","2021-11-17","2021-11-24 22:28"
